Date,Startup_Name,Industry Vertical,City _Location,Amount_in_USD
20-12-2019,Lenskart.com,E-Commerce,Faridabad,231000000
17-12-2019,Healthians,B2B-focused foodtech startup,Bengaluru,12000000
16-12-2019,Licious,E-Commerce,Bengaluru,30000000
16-12-2019,InCred,Finance,Mumbai,5900000
14-12-2019,Trell,Video,Bengaluru,2000000
13-12-2019,Rivigo,Technology,Gurgaon,20000000
12-12-2019,Ecozen,Technology,Pune,6000000
11-12-2019,Rein Games,Gaming,Noida,50000000
06-12-2019,CarDekho,E-Commerce,Gurgaon,70000000
03-12-2019,Dhruva Space,Aerospace,Bengaluru,50000000
25-11-2019,Paytm,FinTech,Noida,1000000000
20-11-2019,Aye Finance,FinTech,Gurgaon,17411265
20-11-2019,Clumio,SaaS,"San Jose,",135000000
19-11-2019,Digital Mall Asia,E-Commerce,Delhi,220000000
19-11-2019,Furtados School of Music,Education,Tulangan,200000000
18-11-2019,Healthians,Health and Wellness,Gurgaon,12000000
18-11-2019,Medikabazaar,Healthcare,Mumbai,15800000
17-11-2019,Burger Singh,Food and Beverage,Gurgaon,undisclosed
15-11-2019,Ninjacart,B2B Marketing,Bengaluru,26000000
15-11-2019,Vogo Automotive,Last Mile Transportation,Kormangala,283000000
14-11-2019,Misters,Health and wellness,Gurgaon,486000
13-11-2019,Freshworks,Software,San Francisco,150000000
13-11-2019,Sunstone Eduversity Pvt. Ltd,Education,Gurgaon,1500000
12-11-2019,SuperGaming,Video Games,Pune,1300000
11-11-2019,eBikeGo,Last Mile Transportation,Amritsar,300000
21-10-2019,The Man Company,Consumer Goods,Gurgaon,unknown
04-10-2019,Dunzo,Customer Service,Bengaluru,45000000
02-10-2019,Udaan,B2B,Bengaluru,585000000
05-09-2019,FPL Technologies,FinTech,Pune,4500000
04-09-2019,Cashflo,FinTech,Mumbai,3300000
04-09-2019,Digital F5,"Advertising, Marketing",Mumbai,6000000
04-09-2019,3rdFlix,SaaS,Hyderabad,5000000
04-09-2019,75F,IoT,Burnsville,18000000
04-09-2019,Myelin Foundry,Information Technology,Bengaluru,1000000
04-09-2019,Atomberg Technology,Consumer Technology,Mumbai,10000000
04-09-2019,GOQii,Health and Wellness,Menlo Park,450000000
03-09-2019,Vyapar App,Accounting,Bengaluru,5000000
27-08-2019,Rapido Bike Taxi,Transportation,Bengaluru,3900000000
23-08-2019,Zendrive,Automotive,San Francisco,37000000
23-08-2019,Lo! Foods,Consumer Goods,Bengaluru,500000
23-08-2019,Tala,FinTech,Santa Monica,110000000
23-08-2019,AdmitKard,EdTech,Noida,1000000
22-08-2019,INDwealth,FinTech,Gurgaon,15000000
21-08-2019,HungerBox,Food and Beverage,Bengaluru,6590000
19-08-2019,Mishry Reviews,Services,Gurgaon,Undisclosed
19-08-2019,Grofers,E-Commerce,Gurgaon,70000000
13-08-2019,Cars24,E-Commerce,Gurugram,11000000
13-08-2019,Uniphore,Customer Service Platform,Palo Alto,51000000
12-08-2019,Meesho,E-Commerce,Bengaluru,125000000
01-08-2019,CarDekho,E-Commerce,Gurgaon,20000000
01-08-2019,Progcap,Finance,New Delhi,5000000
01-08-2019,MyPetrolPump,Retail,Bengaluru,1600000
01-08-2019,Alteria Capital,Finance,Mumbai,140000000
01-08-2019,Pine Labs,Information Technology,Noida,38080000
11-07-2019,Moglix,E-Commerce,Singapore,60000000
10-07-2019,"""BYJU\\'S""",EdTech,Bengaluru,150000000
10-07-2019,Ezyhaul,Tech,Singapore,16000000
10-07-2019,Indus OS,Tech,Andheri,5750000
10-07-2019,HealthAssure,Health Care,Mumbai,2500000
09-07-2019,House of Msasaba,Luxury Label,Mumbai,1000000
08-07-2019,Board Infinity,EdTech,Chembur,319605
04-07-2019,Daalchini Technologies,Food and Beverage,New Delhi,500000
03-07-2019,Ola Cabs,Transport,Kormangala,1000000
02-07-2019,RenewBuy,Finance,Gurgaon,19000000
02-07-2019,Atlan,Information Technology,Singapore,2500000
01-07-2019,WizCounsel,Compliance,New Delhi,145000
01-07-2019,Uniphore,Artificial Intelligence,Taramani,38080000
10-06-2019,Bolo App,Digital Media,Bengaluru,430200
10-06-2019,OkCredit,FinTech,Haryana,15500000
08-06-2019,Vogo Automotive Pvt. Ltd.,Transportation,Karnataka,3584000
06-06-2019,Sistema.bio,Agriculture,Nairobi,2739034.68
06-06-2019,Chakr Innovation,Energy,New Delhi,26000000
06-06-2019,Pratilipi,Digital Media,Bengaluru,15109500
06-06-2020,Biz2Credit,FinTech,New York,52000000
